Name	Description	chrom	type	start_hg19	end_hg19	strand	ts_id	gene_type	gene_status	loci_level	alias_symbol	official_name	SNP	SNP_chr	SNP_pos_hg19	char	dist	cap4_enhancer_no	fantom5_enhancer_no	gross	dnm	de	neuron_count	oligo_count	micro_count	fetal_enhancer	adult_enhancer	fantom5	cap4	DTS	neuron_P	micro_P	oligo_P	fetal_P	adult_P	DE	weight	pp	num
ENSG00000102977	ACD	chr16	gene	67691433	67694713	-	ENSG00000102977.8	protein_coding	KNOWN	2	ACD	ACD	rs8044995	chr16	68189340	rs8044995:ENSG00000102977	494627	178	6	0.99635	0.9668	0.07514	7	1	20	1	0	0.120811287477954	0.0511463844797178	0.500440917107584	0.127865961199295	0.0291005291005291	0.2336860670194	0.810405643738977	1	0.123456790123457	2.78412979661053	0.000228310502283105	12
ENSG00000100412	ACO2	chr22	gene	41865117	41924993	+	ENSG00000100412.10	protein_coding	KNOWN	1	ACO2	ACO2	rs9607782,rs6002655	chr22	41587556	rs9607782:ENSG00000100412	277561	49	1	0.99635	0.9668	0.208	0	4	5	0	0	0.488977072310406	0.515432098765432	0.282186948853616	1	0.160493827160494	0.109347442680776	1	1	0.283068783068783	2.52725084965161	0.000627853881278539	33
ENSG00000134575	ACP2	chr11	gene	47260853	47270457	-	ENSG00000134575.4	protein_coding	KNOWN	1	ACP2	ACP2	chr11_46350213_D	chr11	46350213	chr11_46350213_D:ENSG00000134575	920244	54	0	0.99635	0.9668	0.7096	4	3	4	2	0	1	0.488095238095238	0.877425044091711	0.197971781305115	0.189594356261023	0.135802469135802	0.717813051146384	1	0.842592592592593	0.302035467736474	0	0
ENSG00000134940	ACRV1	chr11	gene	125541417	125551018	-	ENSG00000134940.8	protein_coding	KNOWN	2	ACRV1	ACRV1	rs55661361	chr11	124613957	rs55661361:ENSG00000134940	937061	0	0	0.99635	0.9668	0.199539301845241	0	0	0	0	0	1	1	0.895061728395062	1	1	1	1	1	0.268077601410935	1.42734137569329	1.90258751902588e-05	1
ENSG00000103740	ACSBG1	chr15	gene	78459810	78538030	-	ENSG00000103740.5	protein_coding	KNOWN	2	ACSBG1	ACSBG1	rs8042374	chr15	78908032	rs8042374:ENSG00000103740	370002	49	4	0.99635	0.9668	0.02415	0	0	0	50	3	0.19620811287478	0.515432098765432	0.370811287477954	1	1	1	0.0202821869488536	0.229276895943563	0.0714285714285714	5.10394418776212	0.00123668188736682	65
ENSG00000138107	ACTR1A	chr10	gene	104238986	104262482	-	ENSG00000138107.6	protein_coding	KNOWN	2	ACTR1A	ACTR1A	rs11191419	chr10	104612335	rs11191419:ENSG00000138107	349853	85	3	0.99635	0.9668	0.7499	0	0	0	18	19	0.247795414462081	0.341269841269841	0.351851851851852	1	1	1	0.182980599647266	0.0445326278659612	0.867724867724868	4.29795880263966	0.00254946727549467	134
ENSG00000101442	ACTR5	chr20	gene	37377085	37400834	+	ENSG00000101442.8	protein_coding	KNOWN	2	ACTR5	ACTR5	rs6065094	chr20	37453194	rs6065094:ENSG00000101442	76109	0	12	0.99635	0.9668	0.05815	4	6	0	3	0	0.041005291005291	1	0.0811287477954145	0.197971781305115	1	0.0758377425044092	0.638007054673721	1	0.106701940035273	4.74943384592961	0.00136986301369863	72
ENSG00000169717	ACTRT2	chr1	gene	2938046	2939465	+	ENSG00000169717.4	protein_coding	KNOWN	2	ACTRT2	ACTRT2	rs4648845	chr1	2387101	rs4648845:ENSG00000169717	550945	60	1	0.99635	0.9668	0.352140426935767	0	0	0	21	9	0.488977072310406	0.463403880070547	0.556878306878307	1	1	1	0.144179894179894	0.121252204585538	0.456349206349206	3.4797880688264	0.000342465753424658	18
ENSG00000121989	ACVR2A	chr2	gene	148602086	148688393	+	ENSG00000121989.10	protein_coding	KNOWN	2	ACVR2A	ACVR2A	chr2_149429178_D	chr2	149429178	chr2_149429178_D:ENSG00000121989	827092	161	10	0.99635	0.9668	0.1083	5	0	2	2	0	0.0568783068783069	0.082010582010582	0.788359788359788	0.169753086419753	0.271604938271605	1	0.717813051146384	1	0.162257495590829	2.0563714357929	0.000513698630136986	27
ENSG00000243989	ACY1	chr3	gene	52009066	52023213	+	ENSG00000243989.3	protein_coding	KNOWN	1	ACY1	ACY1	rs2535627	chr3	52845105	rs2535627:ENSG00000243989	836039	48	1	0.99635	0.9668	0.132118361774652	0	0	0	42	30	0.488977072310406	0.520723104056437	0.79673721340388	1	1	1	0.0339506172839506	0.0207231040564374	0.189153439153439	5.76893318331262	0.00108447488584475	57
ENSG00000168594	ADAM29	chr4	gene	175750819	175899331	+	ENSG00000168594.10	protein_coding	KNOWN	1	ADAM29	ADAM29	rs1106568	chr4	176861301	rs1106568:ENSG00000168594	1110482	88	0	0.99635	0.9668	0.412343518330282	0	0	0	9	0	1	0.329805996472663	0.981040564373898	1	1	1	0.361111111111111	1	0.533068783068783	0.648246284480152	0	0
ENSG00000166106	ADAMTS15	chr11	gene	130318869	130346532	+	ENSG00000166106.2	protein_coding	KNOWN	2	ADAMTS15	ADAMTS15	rs10791097	chr11	130718630	rs10791097:ENSG00000166106	399761	152	2	0.99635	0.9668	0.612199159708243	26	5	0	18	0	0.346119929453263	0.0974426807760141	0.397707231040564	0.0286596119929453	1	0.0895061728395062	0.182980599647266	1	0.761463844797178	1.19455173148598	0.000171232876712329	9
ENSG00000136378	ADAMTS7	chr15	gene	79051545	79103805	-	ENSG00000136378.9	protein_coding	KNOWN	2	ADAMTS7	ADAMTS7	rs8042374	chr15	78908032	rs8042374:ENSG00000136378	195773	106	0	0.99635	0.9668	0.592571320873703	0	0	0	19	1	1	0.248236331569665	0.197089947089947	1	1	1	0.171075837742504	0.301587301587302	0.745149911816579	3.11696067438969	0.000266362252663623	14
ENSG00000134917	ADAMTS8	chr11	gene	130274820	130298888	-	ENSG00000134917.8	protein_coding	KNOWN	2	ADAMTS8	ADAMTS8	rs10791097	chr11	130718630	rs10791097:ENSG00000134917	419742	234	0	0.99635	0.9668	0.5637	10	10	0	21	6	1	0.00925925925925926	0.417548500881834	0.0895061728395062	1	0.044973544973545	0.144179894179894	0.167989417989418	0.712522045855379	2.99615328714911	0.000285388127853881	15
ENSG00000163638	ADAMTS9	chr3	gene	64501333	64673676	-	ENSG00000163638.9	protein_coding	KNOWN	2	ADAMTS9	ADAMTS9	rs832187	chr3	63833050	rs832187:ENSG00000163638	840626	81	6	0.99635	0.9668	0.177	0	0	0	33	0	0.120811287477954	0.358906525573192	0.80026455026455	1	1	1	0.058641975308642	1	0.24294532627866	1.63773177384342	0.000285388127853881	15
ENSG00000156218	ADAMTSL3	chr15	gene	84322838	84708594	+	ENSG00000156218.8	protein_coding	KNOWN	2	ADAMTSL3	ADAMTSL3	rs950169	chr15	84706461	rs950169:ENSG00000156218	383623	55	0	0.99635	0.9668	0.2173	0	0	0	11	0	1	0.486772486772487	0.385802469135802	1	1	1	0.303350970017637	1	0.294532627865961	2.17479526980103	0.000209284627092846	11
ENSG00000143382	ADAMTSL4	chr1	gene	150521884	150533413	+	ENSG00000143382.8	protein_coding	KNOWN	2	ADAMTSL4	ADAMTSL4	rs140505938	chr1	150031490	rs140505938:ENSG00000143382	490394	141	0	0.99635	0.9668	0.459303745153199	3	0	2	11	12	1	0.126102292768959	0.494708994708995	0.27336860670194	0.271604938271605	1	0.303350970017637	0.0877425044091711	0.600529100529101	3.64707859702634	0.00146499238964992	77
ENSG00000105963	ADAP1	chr7	gene	937540	995043	-	ENSG00000105963.7	protein_coding	KNOWN	1	ADAP1	ADAP1	chr7_2025096_I	chr7	2025096	chr7_2025096_I:ENSG00000105963	1030053	80	12	0.99635	0.9668	0.5657	0	0	0	94	20	0.041005291005291	0.364197530864198	0.966490299823633	1	1	1	0.00220458553791887	0.0401234567901235	0.716490299823633	3.58326874519433	0.000742009132420091	39
ENSG00000182035	ADIG	chr20	gene	37209838	37217106	+	ENSG00000182035.7	protein_coding	KNOWN	1	ADIG	ADIG	rs6065094	chr20	37453194	rs6065094:ENSG00000182035	243356	56	0	0.99635	0.9668	0.446220952902126	0	0	0	0	0	1	0.483245149911817	0.244268077601411	1	1	1	1	1	0.585978835978836	1.94396058423476	0.00015220700152207	8
ENSG00000006831	ADIPOR2	chr12	gene	1797740	1897844	+	ENSG00000006831.9	protein_coding	KNOWN	1	ADIPOR2	ADIPOR2	rs2007044	chr12	2344960	rs2007044:ENSG00000006831	547220	30	2	0.99635	0.9668	0.8854	1	47	0	31	0	0.346119929453263	0.60978835978836	0.554232804232804	0.361992945326279	1	0.00396825396825397	0.0679012345679012	1	0.94047619047619	0.651539402633687	9.51293759512938e-05	5
ENSG00000224420	C19orf76	chr19	gene	50193095	50193750	+	ENSG00000224420.2	protein_coding	KNOWN	3	C19orf76	ADM5	rs56873913	chr19	50091199	rs56873913:ENSG00000224420	101896	81	0	0.99635	0.9668	0.271162015904412	0	0	0	1	0	1	0.358906525573192	0.10626102292769	1	1	1	0.810405643738977	1	0.353615520282187	3.28140178833812	0.000171232876712329	9
ENSG00000120907	ADRA1A	chr8	gene	26605667	26724790	-	ENSG00000120907.13	protein_coding	KNOWN	1	ADRA1A	ADRA1A	rs73229090	chr8	27442127	rs73229090:ENSG00000120907	717337	115	2	0.99635	0.9668	0.8412	0	0	0	1	0	0.346119929453263	0.205908289241623	0.703703703703704	1	1	1	0.810405643738977	1	0.920634920634921	0.434089602683002	3.80517503805175e-05	2
ENSG00000239900	ADSL	chr22	gene	40742507	40764823	+	ENSG00000239900.4	protein_coding	KNOWN	2	ADSL	ADSL	rs9607782,chr22_39987017_D	chr22	41587556	rs9607782:ENSG00000239900	755490	140	0	0.99635	0.9668	0.602	20	11	5	4	0	1	0.127865961199295	0.733245149911817	0.0374779541446208	0.160493827160494	0.0396825396825397	0.569664902998236	1	0.752645502645503	0.594436127707917	0.000228310502283105	12
ENSG00000185100	ADSSL1	chr14	gene	105190523	105213662	+	ENSG00000185100.5	protein_coding	KNOWN	2	ADSSL1	ADSSL1	rs12887734	chr14	104046834	rs12887734:ENSG00000185100	1143689	73	4	0.99635	0.9668	0.3324	0	0	0	33	16	0.19620811287478	0.399911816578483	0.988536155202822	1	1	1	0.058641975308642	0.058641975308642	0.430335097001764	3.69102567627598	0.000570776255707763	30
ENSG00000135439	AGAP2	chr12	gene	58118981	58135940	-	ENSG00000135439.6	protein_coding	KNOWN	2	AGAP2	AGAP2	rs12826178	chr12	57622371	rs12826178:ENSG00000135439	513569	96	4	0.99635	0.9668	0.8199	10	0	0	4	7	0.19620811287478	0.297619047619048	0.518959435626102	0.0895061728395062	1	1	0.569664902998236	0.150793650793651	0.907407407407407	2.64493623382605	0.000323439878234399	17
ENSG00000159723	AGRP	chr16	gene	67516474	67517716	-	ENSG00000159723.4	protein_coding	KNOWN	2	AGRP	AGRP	rs8044995	chr16	68189340	rs8044995:ENSG00000159723	671624	41	0	0.99635	0.9668	0.255031962757523	0	0	0	0	0	1	0.556878306878307	0.671075837742504	1	1	1	1	1	0.336860670194004	1.48695900210713	1.90258751902588e-05	1
ENSG00000122787	AKR1D1	chr7	gene	137687070	137802732	+	ENSG00000122787.8	protein_coding	KNOWN	1	AKR1D1	AKR1D1	rs3735025	chr7	137074844	rs3735025:ENSG00000122787	612226	84	2	0.99635	0.9668	0.437042518427515	0	0	0	4	0	0.346119929453263	0.346119929453263	0.619047619047619	1	1	1	0.569664902998236	1	0.573192239858907	1.0361072016599	0.000247336377473364	13
ENSG00000204673	AKT1S1	chr19	gene	50372295	50381716	-	ENSG00000204673.5	protein_coding	KNOWN	2	AKT1S1	AKT1S1	rs56873913	chr19	50091199	rs56873913:ENSG00000204673	290517	61	1	0.99635	0.9668	0.3865	0	0	0	0	0	0.488977072310406	0.459876543209877	0.294973544973545	1	1	1	1	1	0.496913580246914	1.92020875552728	0.000475646879756469	25
ENSG00000117020	AKT3	chr1	gene	243651535	244014381	-	ENSG00000117020.12	protein_coding	KNOWN	2	AKT3	AKT3	rs77149735	chr1	243555105	rs77149735:ENSG00000117020	459276	17	11	0.99635	0.9668	5.012e-06	0	0	0	22	0	0.0476190476190476	0.673280423280423	0.457231040564374	1	1	1	0.134920634920635	1	0.00352733686067019	6.42977857978592	0.00133181126331811	70
ENSG00000023330	ALAS1	chr3	gene	52232102	52248343	+	ENSG00000023330.9	protein_coding	KNOWN	1	ALAS1	ALAS1	rs2535627	chr3	52845105	rs2535627:ENSG00000023330	613003	0	2	0.99635	0.0332	0.2571	4	0	3	18	1	0.346119929453263	1	0.619488536155203	0.197971781305115	0.224867724867725	1	0.182980599647266	0.301587301587302	0.340828924162258	2.75393144656511	0.000513698630136986	27
ENSG00000161618	ALDH16A1	chr19	gene	49956473	49974304	+	ENSG00000161618.4	protein_coding	KNOWN	3	ALDH16A1	ALDH16A1	rs56873913	chr19	50091199	rs56873913:ENSG00000161618	134726	102	3	0.99635	0.0332	0.6628	3	0	23	2	0	0.247795414462081	0.268959435626102	0.141093474426808	0.27336860670194	0.0211640211640212	1	0.717813051146384	1	0.808201058201058	2.17127708606181	0.00045662100456621	24
ENSG00000149925	ALDOA	chr16	gene	30064411	30081778	+	ENSG00000149925.12	protein_coding	KNOWN	2	ALDOA	ALDOA	rs12691307	chr16	29939877	rs12691307:ENSG00000149925	124534	0	2	0.99635	0.9668	0.4771	18	5	21	25	8	0.346119929453263	1	0.130070546737213	0.0432098765432099	0.0264550264550265	0.0895061728395062	0.104497354497354	0.134920634920635	0.624779541446208	4.51310329656005	0.0021689497716895	114
ENSG00000091542	ALKBH5	chr17	gene	18086392	18113268	+	ENSG00000091542.7	protein_coding	KNOWN	2	ALKBH5	ALKBH5	rs8082590	chr17	17958402	rs8082590:ENSG00000091542	127990	8	2	0.99635	0.9668	0.1839	0	0	1	15	0	0.346119929453263	0.740299823633157	0.132275132275132	1	0.327601410934744	1	0.220899470899471	1	0.250440917107584	3.40740343631793	0.000380517503805175	20
ENSG00000163295	ALPI	chr2	gene	233320833	233324742	+	ENSG00000163295.4	protein_coding	KNOWN	2	ALPI	ALPI	rs6704768	chr2	233592501	rs6704768:ENSG00000163295	271668	12	1	0.99635	0.9668	0.453573146142787	0	0	0	27	0	0.488977072310406	0.709876543209877	0.273809523809524	1	1	1	0.0886243386243386	1	0.59700176366843	1.81115779428959	0.000171232876712329	9
ENSG00000136383	ALPK3	chr15	gene	85359911	85416713	+	ENSG00000136383.6	protein_coding	KNOWN	2	ALPK3	ALPK3	rs950169	chr15	84706461	rs950169:ENSG00000136383	653450	84	1	0.99635	0.9668	0.8153	0	0	6	4	0	0.488977072310406	0.346119929453263	0.656084656084656	1	0.14373897707231	1	0.569664902998236	1	0.905202821869489	0.521061697283315	3.80517503805175e-05	2
ENSG00000163283	ALPP	chr2	gene	233243244	233247599	+	ENSG00000163283.6	protein_coding	KNOWN	2	ALPP	ALPP	rs6704768	chr2	233592501	rs6704768:ENSG00000163283	349257	0	1	0.99635	0.9668	0.508139620475207	0	0	0	13	0	0.488977072310406	1	0.350970017636684	1	1	1	0.265432098765432	1	0.662257495590829	1.45915531152682	3.80517503805175e-05	2
ENSG00000163286	ALPPL2	chr2	gene	233271553	233275424	+	ENSG00000163286.3	protein_coding	KNOWN	2	ALPPL2	ALPPL2	rs6704768	chr2	233592501	rs6704768:ENSG00000163286	320948	3	1	0.99635	0.9668	0.249739670503895	0	0	0	13	0	0.488977072310406	0.762345679012346	0.32363315696649	1	1	1	0.265432098765432	1	0.330687830687831	2.23472509455041	9.51293759512938e-05	5
ENSG00000110497	AMBRA1	chr11	gene	46417964	46615675	-	ENSG00000110497.9	protein_coding	KNOWN	1	AMBRA1	AMBRA1	chr11_46350213_D	chr11	46350213	chr11_46350213_D:ENSG00000110497	265462	60	2	0.99635	0.9668	0.7022	5	6	0	13	11	0.346119929453263	0.463403880070547	0.268518518518519	0.169753086419753	1	0.0758377425044092	0.265432098765432	0.100529100529101	0.836860670194004	3.79024111870872	0.00148401826484018	78
ENSG00000166126	AMN	chr14	gene	103388993	103399933	+	ENSG00000166126.6	protein_coding	KNOWN	2	AMN	AMN	rs12887734	chr14	104046834	rs12887734:ENSG00000166126	657841	9	1	0.99635	0.9668	0.146355814814521	0	0	0	21	0	0.488977072310406	0.730599647266314	0.660934744268078	1	1	1	0.144179894179894	1	0.201499118165785	2.01607044069848	0.000285388127853881	15
ENSG00000174945	AMZ1	chr7	gene	2719156	2804759	+	ENSG00000174945.8	protein_coding	KNOWN	2	AMZ1	AMZ1	chr7_2025096_I	chr7	2025096	chr7_2025096_I:ENSG00000174945	694060	102	1	0.99635	0.0332	0.6835	6	0	7	26	2	0.488977072310406	0.268959435626102	0.688271604938272	0.148589065255732	0.121252204585538	1	0.0978835978835979	0.263227513227513	0.820987654320988	1.90555550279788	0.000171232876712329	9
ENSG00000196510	ANAPC7	chr12	gene	110810705	110841535	-	ENSG00000196510.6	protein_coding	KNOWN	1	ANAPC7	ANAPC7	rs4766428	chr12	110723245	rs4766428:ENSG00000196510	118290	65	0	0.99635	0.9668	0.01838	10	1	4	42	9	1	0.438271604938272	0.124779541446208	0.0895061728395062	0.189594356261023	0.2336860670194	0.0339506172839506	0.121252204585538	0.0608465608465608	6.99048931407591	0.00275875190258752	145
ENSG00000131503	ANKHD1	chr5	gene	139781399	139929163	+	ENSG00000131503.15	protein_coding	KNOWN	1	ANKHD1	ANKHD1	chr5_140143664_I	chr5	140143664	chr5_140143664_I:ENSG00000131503	362265	46	17	0.99635	0.9668	0.1367	6	9	34	33	0	0.0207231040564374	0.527777777777778	0.364197530864198	0.148589065255732	0.00749559082892416	0.0524691358024691	0.058641975308642	1	0.191798941798942	2.66136652508562	0.000837138508371385	44
ENSG00000170209	ANKK1	chr11	gene	113258513	113271140	+	ENSG00000170209.4	protein_coding	KNOWN	2	ANKK1	ANKK1	rs2514218	chr11	113392994	rs2514218:ENSG00000170209	134481	21	0	0.99635	0.9668	0.194113407568914	0	0	0	0	0	1	0.656084656084656	0.14021164021164	1	1	1	1	1	0.261463844797178	3.30606154791738	0.000133181126331811	7
ENSG00000076513	ANKRD13A	chr12	gene	110436991	110477568	+	ENSG00000076513.10	protein_coding	KNOWN	1	ANKRD13A	ANKRD13A	rs4766428	chr12	110723245	rs4766428:ENSG00000076513	286254	114	1	0.99635	0.9668	0.1239	1	2	0	8	7	0.488977072310406	0.210758377425044	0.289241622574956	0.361992945326279	1	0.17989417989418	0.395943562610229	0.150793650793651	0.177689594356261	4.86005290658955	0.00060882800608828	32
ENSG00000235711	ANKRD34C	chr15	gene	79575146	79590580	+	ENSG00000235711.3	protein_coding	KNOWN	2	ANKRD34C	ANKRD34C	rs8042374	chr15	78908032	rs8042374:ENSG00000235711	667114	56	0	0.99635	0.9668	0.002621	0	0	0	1	0	1	0.483245149911817	0.66710758377425	1	1	1	0.810405643738977	1	0.0246913580246914	4.10610592517178	0.000342465753424658	18
ENSG00000065413	ANKRD44	chr2	gene	197831741	198175897	-	ENSG00000065413.12	protein_coding	KNOWN	1	ANKRD44	ANKRD44	rs6434928	chr2	198304577	rs6434928:ENSG00000065413	128680	118	8	0.99635	0.9668	0.4269	10	31	90	32	2	0.0824514991181658	0.197530864197531	0.133597883597884	0.0895061728395062	0.000881834215167548	0.0101410934744268	0.0621693121693122	0.263227513227513	0.556437389770723	3.9338580325398	0.00108447488584475	57
ENSG00000139645	ANKRD52	chr12	gene	56631591	56652175	-	ENSG00000139645.8	protein_coding	KNOWN	2	ANKRD52	ANKRD52	rs12826178	chr12	57622371	rs12826178:ENSG00000139645	970196	68	0	0.99635	0.9668	0.04067	3	0	3	7	2	1	0.425044091710758	0.925925925925926	0.27336860670194	0.224867724867725	1	0.432539682539683	0.263227513227513	0.0895061728395062	3.82514527839702	0.000418569254185693	22
ENSG00000230778	ANKRD63	chr15	gene	40573645	40574787	-	ENSG00000230778.1	protein_coding	KNOWN	2	ANKRD63	ANKRD63	rs56205728	chr15	40567237	rs56205728:ENSG00000230778	7550	102	0	0.99635	0.9668	0.0947735327540148	0	0	6	8	3	1	0.268959435626102	0.0105820105820106	1	0.14373897707231	1	0.395943562610229	0.229276895943563	0.143298059964727	7.96425317028977	0	0
ENSG00000143401	ANP32E	chr1	gene	150190717	150208504	-	ENSG00000143401.10	protein_coding	KNOWN	1	ANP32E	ANP32E	rs140505938	chr1	150031490	rs140505938:ENSG00000143401	177014	80	5	0.99635	0.9668	0.03218	0	0	0	19	0	0.153439153439153	0.364197530864198	0.181216931216931	1	1	1	0.171075837742504	1	0.082010582010582	4.20896744148585	0.000627853881278539	33
ENSG00000143412	ANXA9	chr1	gene	150954493	150968110	+	ENSG00000143412.5	protein_coding	KNOWN	2	ANXA9	ANXA9	rs140505938	chr1	150031490	rs140505938:ENSG00000143412	923003	88	0	0.99635	0.9668	0.492551275195395	0	0	0	10	0	1	0.329805996472663	0.880070546737213	1	1	1	0.327160493827161	1	0.646825396825397	0.563432094680894	9.51293759512938e-05	5
ENSG00000138356	AOX1	chr2	gene	201450591	201541787	+	ENSG00000138356.9	protein_coding	KNOWN	1	AOX1	AOX1	chr2_200825237_I	chr2	200825237	chr2_200825237_I:ENSG00000138356	625354	173	0	0.99635	0.0332	0.2255	0	0	0	6	0	1	0.0573192239858906	0.631393298059965	1	1	1	0.47663139329806	1	0.306878306878307	1.64113032184027	0.000266362252663623	14
ENSG00000152056	AP1S3	chr2	gene	224616403	224702744	-	ENSG00000152056.12	protein_coding	KNOWN	2	AP1S3	AP1S3	rs11685299	chr2	225391296	rs11685299:ENSG00000152056	688552	65	4	0.99635	0.9668	0.8929	2	0	0	0	0	0.19620811287478	0.438271604938272	0.684744268077601	0.328924162257496	1	1	1	1	0.944444444444444	0.435868255538904	5.70776255707763e-05	3
ENSG00000196961	AP2A1	chr19	gene	50270180	50310369	+	ENSG00000196961.7	protein_coding	KNOWN	3	AP2A1	AP2A1	rs56873913	chr19	50091199	rs56873913:ENSG00000196961	178981	45	3	0.99635	0.9668	0.04587	6	0	0	1	0	0.247795414462081	0.532627865961199	0.184744268077601	0.148589065255732	1	1	0.810405643738977	1	0.0970017636684303	4.02180886342079	0.00260654490106545	137
ENSG00000157823	AP3S2	chr15	gene	90373831	90437574	-	ENSG00000157823.11	protein_coding	KNOWN	2	AP3S2	AP3S2	rs4702	chr15	91426560	rs4702:ENSG00000157823	988986	49	16	0.99635	0.9668	0.768	9	8	32	5	0	0.0242504409171076	0.515432098765432	0.945767195767196	0.0987654320987654	0.00925925925925926	0.0599647266313933	0.514550264550265	1	0.87962962962963	0.184013169009204	3.80517503805175e-05	2
ENSG00000113108	APBB3	chr5	gene	139937853	139973337	-	ENSG00000113108.13	protein_coding	KNOWN	1	APBB3	APBB3	chr5_140143664_I	chr5	140143664	chr5_140143664_I:ENSG00000113108	170327	133	16	0.99635	0.9668	0.2991	0	0	0	4	1	0.0242504409171076	0.153439153439153	0.169312169312169	1	1	1	0.569664902998236	0.301587301587302	0.381834215167549	3.93747561577022	0.000722983257229833	38
ENSG00000117362	APH1A	chr1	gene	150237804	150241980	-	ENSG00000117362.8	protein_coding	KNOWN	2	APH1A	APH1A	rs140505938	chr1	150031490	rs140505938:ENSG00000117362	210490	107	0	0.99635	0.9668	0.6145	2	0	0	7	0	1	0.240740740740741	0.214726631393298	0.328924162257496	1	1	0.432539682539683	1	0.767636684303351	1.80282826684451	0.000323439878234399	17
